Maximum Payoff: 27700
33 77 962
105 107 164
113 134 927
139 190 877
192 231 418
262 281 128
290 321 678
332 342 501
344 393 882
394 422 633
450 459 986
464 468 321
471 508 692
509 538 396
552 556 234
556 561 656
586 610 793
611 642 690
648 660 905
673 683 262
702 736 804
737 744 994
761 771 42
773 789 585
800 809 541
810 817 864
823 828 824
830 837 768
843 878 786
880 893 641
899 906 791
909 912 52
913 914 904
920 930 316
932 938 665
941 946 839
946 960 985
960 964 768
965 980 727
983 985 815
987 991 930
991 996 665
997 998 148
998 999 141
